sensor,score_ttest,rank_ttest,score_mutual_info,rank_mutual_info,score_l1_logistic,rank_l1_logistic,score_random_forest,rank_random_forest,score_shap,rank_shap,mean_rank,consensus_rank,stability,selected
sensor_589,1.1890395271783014,104.0,0.0176705156834418,40.0,0.0,196.0,0.002836873107954059,146.0,0.0016678529562216369,108.0,118.8,93,0.03333333333333333,False
sensor_196,1.2209535971492596,100.0,0.001345082984410606,169.0,0.0,196.0,0.00395019722783865,71.0,0.002139762583885358,63.0,119.8,94,0.0,False
sensor_161,1.7520739959445009,60.0,0.0,229.0,0.12608661427292076,44.0,0.0025895518819759587,168.0,0.001735867830985234,101.0,120.4,95,0.0,False
sensor_160,2.3311800068004307,27.0,0.0,229.0,0.05767621047968131,76.0,0.0030450714585194805,124.0,0.001398992179788869,147.0,120.6,96,0.1,False
sensor_034,0.10345304949654435,257.0,0.0138059828524284,59.0,0.0,196.0,0.0044757114761539785,48.0,0.0025382913869329187,48.0,121.6,97,0.0,False
sensor_413,0.8137897277501176,160.0,0.012443732023368126,70.0,0.0,196.0,0.003506437902260234,92.0,0.0017690203009790106,95.0,122.6,98,0.0,False
sensor_075,1.376920172312062,88.0,0.0,229.0,0.10105497896495212,50.0,0.0033116069715783845,105.0,0.0014371662208895156,143.0,123.0,99,0.0,False
sensor_044,1.7373394253171843,63.0,0.0,229.0,0.0,196.0,0.0042273795520362,60.0,0.0020296300913632743,69.0,123.4,100,0.0,False
sensor_144,1.082887126217188,119.0,0.0,229.0,0.0,196.0,0.00498494814982139,39.0,0.00316377392275498,34.0,123.4,101,0.06666666666666667,False
sensor_080,1.065447904654244,124.0,0.0026404121439334016,150.0,0.0,196.0,0.003977015769259949,67.0,0.0018407419397895475,87.0,124.8,102,0.0,False
sensor_336,1.1626274916180774,108.0,0.0,229.0,0.0,196.0,0.004411492572586871,53.0,0.002819384895379557,39.0,125.0,103,0.0,False
sensor_026,1.838981123556501,52.0,0.007599132226675298,100.0,0.0,196.0,0.003026876452064873,126.0,0.001344517337991259,155.0,125.8,104,0.0,False
